Study,Gene,Weight
DEE5 H3N2,LOC100127972,3.3981506373192
DEE5 H3N2,ZCCHC4,3.33720481468454
DEE5 H3N2,JUP,3.26017354746156
DEE5 H3N2,GSTT1,2.69747332953961
DEE5 H3N2,ZNF493,2.62549440684938
DEE5 H3N2,RNASE3,2.59741769512725
DEE5 H3N2,CYP27A1,2.37433516013117
DEE5 H3N2,FAM118A,2.36427548018526
DEE5 H3N2,TPT1P8,2.2173719252443
DEE5 H3N2,TIPIN,2.21492516749787
DEE5 H3N2,SMC2,2.20502876446317
DEE5 H3N2,NKX3-1,2.05087473795299
DEE5 H3N2,RBP4,1.91597559371418
DEE5 H3N2,FSTL1,1.87477735777041
DEE5 H3N2,PCSK5,1.86893857501602
DEE5 H3N2,GNA11,1.78761976914741
DEE5 H3N2,CD300A,1.76699135403845
DEE5 H3N2,CPNE1,1.59588329019946
DEE5 H3N2,CCL4,1.54639046332661
DEE5 H3N2,IGLC1,1.53233803185894
DEE5 H3N2,ACVR1B,1.39705591516837
DEE5 H3N2,ANGPT1,1.34337961208777
DEE5 H3N2,LPL,1.34259525133557
DEE5 H3N2,BAX,1.34062301830884
DEE5 H3N2,PLA2G7,1.2444316491638
DEE5 H3N2,SLC11A1,1.23959760002322
DEE5 H3N2,SCO2,1.20076311794407
DEE5 H3N2,MEIS1,1.00533960090325
DEE5 H3N2,NLRP2,0.980607796962959
DEE5 H3N2,QRSL1,0.928099545184191
DEE5 H3N2,LAPTM4B,0.872840467619984
DEE5 H3N2,SDHD,0.788257880970544
DEE5 H3N2,MBP,0.77254223251525
DEE5 H3N2,ASB9,0.731546079587314
DEE5 H3N2,FLRT3,0.72698223833235
DEE5 H3N2,CD8A,0.712988134172725
DEE5 H3N2,GM2A,0.702424595799863
DEE5 H3N2,SV2C,0.531940628436462
DEE5 H3N2,CDKN1C,0.522718867265084
DEE5 H3N2,IGF1R,0.515867972588171
DEE5 H3N2,EIF2S3,0.504007387079334
DEE5 H3N2,ORM1,0.494986815636571
DEE5 H3N2,KIAA0226L,0.472774447727935
DEE5 H3N2,PLA2G4C,0.461407748638855
DEE5 H3N2,SHISA6,0.42545008947089
DEE5 H3N2,OLFM1,0.394296828077472
DEE5 H3N2,COX15,0.380044491187781
DEE5 H3N2,HOXB2,0.356301930345105
DEE5 H3N2,CA2,0.325188493489365
DEE5 H3N2,CD8B,0.296834453276213
DEE5 H3N2,MYOM2,0.288119509954251
DEE5 H3N2,ST14,0.275669889096102
DEE5 H3N2,KDM5A,0.263223773826847
DEE5 H3N2,PTPRN2,0.259625196682572
DEE5 H3N2,PGM1,0.192534110662712
DEE5 H3N2,COCH,0.183409991753814
DEE5 H3N2,HIST1H1C,0.172690643107892
DEE5 H3N2,EFHD1,0.152957620723032
DEE5 H3N2,FOLR3,0.147512517546205
DEE5 H3N2,ADAM28,0.124435788536112
DEE5 H3N2,LAD1,0.0722887988214541
DEE5 H3N2,LOC100996756,0.0478031247448185
DEE5 H3N2,TMEM176B,0.038556338956564
DEE5 H3N2,MSC,0.0239485750290799
DEE5 H3N2,OSBPL10,0.0157231321229024
DEE5 H3N2,DOK4,0.0156210990204773
DEE5 H3N2,KRT23,0.0110950310353316
DEE5 H3N2,FCER1A,0.0108473473911114
DEE5 H3N2,NCAPG2,0.0107947320476245
DEE5 H3N2,BTNL3,0.0101490141136111
DEE5 H3N2,SLC22A1,0.00726823152811839
DEE5 H3N2,ARMC9,0.0055003711442089
DEE5 H3N2,CD101,0.00513562561103887
DEE5 H3N2,GLTP,0.0039844909984807
Rhinovirus Duke,NOD2,7.85947262765431
Rhinovirus Duke,CLEC10A,7.30795649101033
Rhinovirus Duke,HIF1A,5.94056329723112
Rhinovirus Duke,HOXB2,5.74323841390924
Rhinovirus Duke,ACPP,5.35190847484227
Rhinovirus Duke,DNM1,4.78533953642322
Rhinovirus Duke,CACNA1I,4.55766530014349
Rhinovirus Duke,BEX1,4.24776263644992
Rhinovirus Duke,PIGB,3.8201290582304
Rhinovirus Duke,STYXL1,3.73881596975203
Rhinovirus Duke,LIPC,3.66405550536703
Rhinovirus Duke,SFRP1,3.58860381762767
Rhinovirus Duke,MICB,3.524616931355
Rhinovirus Duke,ARG2,3.37452566197538
Rhinovirus Duke,FBLN5,3.24371486997865
Rhinovirus Duke,SERINC2,3.15488077652246
Rhinovirus Duke,C2,3.09306320679507
Rhinovirus Duke,ABCG1,2.76328819379944
Rhinovirus Duke,LINC01260,2.62299942606173
Rhinovirus Duke,LILRA1,2.60208553480513
Rhinovirus Duke,RABEP1,2.48889921685184
Rhinovirus Duke,AK4,2.460398743696
Rhinovirus Duke,ETFDH,2.42947059637718
Rhinovirus Duke,SUSD4,2.41883643281266
Rhinovirus Duke,WEE1,2.2519331978076
Rhinovirus Duke,CYP2R1,2.2471850321265
Rhinovirus Duke,BMP6,2.22301986779332
Rhinovirus Duke,FCGBP,2.21399504323826
Rhinovirus Duke,TRIM2,2.17453165957859
Rhinovirus Duke,GPR19,2.10659502309073
Rhinovirus Duke,SLC15A1,2.03428278148815
Rhinovirus Duke,GLRA2,1.9025724755887
Rhinovirus Duke,ADGRG2,1.89151182420665
Rhinovirus Duke,DNPH1,1.86107703975042
Rhinovirus Duke,HERC2,1.78779330753453
Rhinovirus Duke,NME4,1.763689380865
Rhinovirus Duke,SAV1,1.69924477979459
Rhinovirus Duke,COL17A1,1.68117963125185
Rhinovirus Duke,EDA,1.64955397696952
Rhinovirus Duke,LRP1,1.61504714803311
Rhinovirus Duke,FGF13,1.58041948672183
Rhinovirus Duke,SPG20,1.53901326168921
Rhinovirus Duke,CD163,1.43017469098158
Rhinovirus Duke,MRC1,1.41976866121031
Rhinovirus Duke,PLEKHM1,1.40362254201066
Rhinovirus Duke,SCD,1.39979039817853
Rhinovirus Duke,SPRED2,1.33678225662748
Rhinovirus Duke,TDRD1,1.30135175224599
Rhinovirus Duke,EPHB3,1.26114483661058
Rhinovirus Duke,SERPINE2,1.25079243307019
Rhinovirus Duke,PTPRJ,1.19142004069823
Rhinovirus Duke,DLAT,1.1732557080558
Rhinovirus Duke,DYNC1LI1,1.1327609936927
Rhinovirus Duke,PDLIM2,1.11779588934374
Rhinovirus Duke,NEFL,1.09645251492503
Rhinovirus Duke,SYNGR1,1.01409718824577
Rhinovirus Duke,MGP,0.99090166687224
Rhinovirus Duke,HS3ST1,0.985116365424458
Rhinovirus Duke,DPH5,0.984503453684173
Rhinovirus Duke,BUB1,0.981216392514603
Rhinovirus Duke,BAIAP2,0.973206145525449
Rhinovirus Duke,DACT1,0.962037771213974
Rhinovirus Duke,SOCS2,0.953866095562735
Rhinovirus Duke,HLA-DPB1,0.942925803297372
Rhinovirus Duke,ZNF230,0.92779432688702
Rhinovirus Duke,PDHB,0.911501192081952
Rhinovirus Duke,MYBPC3,0.909526862327437
Rhinovirus Duke,DLGAP5,0.867483553377622
Rhinovirus Duke,LILRA4,0.85525443183276
Rhinovirus Duke,PTGDS,0.829736585287705
Rhinovirus Duke,LAPTM4B,0.819064415218372
Rhinovirus Duke,IL2RA,0.789503042597951
Rhinovirus Duke,DHRS9,0.777547237452238
Rhinovirus Duke,ACVR1B,0.773266954240816
Rhinovirus Duke,HAAO,0.7200244388684
Rhinovirus Duke,TUBB6,0.712321237275025
Rhinovirus Duke,METTL21B,0.676317897537246
Rhinovirus Duke,HEY1,0.672028472140369
Rhinovirus Duke,IQCB1,0.662298033026615
Rhinovirus Duke,SSR3,0.660918498940273
Rhinovirus Duke,GFI1,0.64320604126984
Rhinovirus Duke,HIST2H2BE,0.600211069636384
Rhinovirus Duke,PARVB,0.587942478996841
Rhinovirus Duke,GM2A,0.578113393954265
Rhinovirus Duke,ELF5,0.573379304468172
Rhinovirus Duke,NETO2,0.568804723932189
Rhinovirus Duke,EPHA1,0.556068979089429
Rhinovirus Duke,RLN2,0.504938360949171
Rhinovirus Duke,NAP1L2,0.504447857626596
Rhinovirus Duke,GSTM1,0.480328855340772
Rhinovirus Duke,EP300,0.457766984238539
Rhinovirus Duke,JAK3,0.429521976622072
Rhinovirus Duke,TNPO2,0.422369285006751
Rhinovirus Duke,IGKC,0.373753871839222
